Kreis,Fälle
Aichach-Friedberg,28
Altötting,36
Amberg Stadt,5
Amberg-Sulzbach,27
Ansbach,45
Ansbach Stadt,3
Aschaffenburg,50
Aschaffenburg Stadt,28
Augsburg,59
Augsburg Stadt,59
Bad Kissingen,21
Bad Tölz,54
Bamberg,41
Bamberg Stadt,22
Bayreuth,26
Bayreuth Stadt,7
Berchtesgadener Land,8
Cham,73
Coburg,32
Dachau,69
Deggendorf,55
Dillingen a.d. Donau,17
Dingolfing-Landau,39
Donau-Ries,10
Ebersberg,60
Eichstätt,25
Erding,104
Erlangen Stadt,24
Erlangen-Höchstadt,27
Forchheim,25
Freising,236
Freyung-Grafenau,16
Fürstenfeldbruck,51
Fürth,19
Fürth Stadt,24
Garmisch-Partenkirchen,43
Günzburg,25
Haßberge,17
Hof,34
Hof Stadt,11
Ingolstadt Stadt,5
Kaufbeuren Stadt,6
Kelheim,48
Kitzingen,14
Kronach,16
Kulmbach,21
Landsberg am Lech,48
Landshut,109
Landshut Stadt,38
Lichtenfels,21
Lindau (Bodensee),51
Main-Spessart,15
Memmingen Stadt,15
Miesbach,136
Miltenberg,47
Mühldorf a.Inn,38
München,266
München Stadt,1237
Neu-Ulm,66
Neuburg-Schrobenhausen,28
Neumarkt i.d.Opf.,18
Neustadt a.d. Aisch-Bad Windsheim,20
Neustadt a.d. Waldnaab,30
Nürnberg Stadt,87
Nürnberger Land,60
Oberallgäu,61
Ostallgäu,40
Passau,36
Passau Stadt,15
Pfaffenhofen a.d.Ilm,32
Regen,25
Regensburg,85
Regensburg Stadt,90
Rhön-Grabfeld,16
Rosenheim,219
Rosenheim Stadt,48
Roth,21
Rottal-Inn,79
Schwabach Stadt,8
Schwandorf,38
Schweinfurt,40
Schweinfurt Stadt,7
Starnberg,110
Straubing Stadt,40
Straubing-Bogen,46
Tirschenreuth,148
Traunstein,64
Unterallgäu,43
Weiden Stadt,20
Weilheim-Schongau,93
Weißenburg-Gunzenhausen,24
Wunsiedel i.Fichtelgebirge,53
Würzburg,135
Würzburg Stadt,88
Summe,5719
