Landkreis/Stadt,Fälle bis gestern,Neu heute,Gesamt
Bergstraße,15,3,18
Darmstadt (Stadt),2,4,6
Darmstadt-Dieburg,5,1,6
Frankfurt,21,-,21
Fulda,10,19,29
Gießen,8,5,13
Groß-Gerau,8,2,10
Hersfeld-Rotenburg,6,6,12
Hochtaunuskreis,7,2,9
Region Kassel,20,2,22
Lahn-Dill-Kreis,9,-,9
Limburg-Weilburg,-,-,-
Main-Kinzig-Kreis,13,8,21
Main-Taunus-Kreis,12,-,12
Marburg-Biedenkopf,8,15,23
Odenwaldkreis,-,2,2
Offenbach (Landkreis),6,2,8
Offenbach (Stadt),1,-,1
Rheingau-Taunus-Kreis,14,4,18
Schwalm-Eder-Kreis,9,6,15
Vogelsbergkreis,3,1,4
Waldeck-Frankenberg,5,3,8
Werra-Meißner-Kreis,-,-,-
Wetteraukreis,2,6,8
Wiesbaden (Stadt),7,-,7
